sample	group	Alpha_sum	Gamma_avg	Undefined_avg	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium
H-10	H	3.650987094	0.176091259	1.505149978	-1.08E-01	-8.07E-01	-1.19E+00	-3.70E+00	-1.08E-01	-4.05E+00	-8.10E-01	-3.42E+00	-3.70E+00	-1.08E-01	-8.10E-01	-3.42E+00	-3.70E+00	-3.42E+00	-3.70E+00	NA	-2.58E+00	-1.39E+00	-4.56E+00
H-118	H	NA	NA	NA	-7.76E-02	-8.21E-01	-1.98E+00	-3.33E+00	-7.76E-02	-3.57E+00	-8.24E-01	-2.94E+00	-3.33E+00	-7.76E-02	-8.24E-01	-2.94E+00	-3.33E+00	-2.94E+00	-3.33E+00	NA	-2.67E+00	-1.80E+00	-2.82E+00
H-119	H	3.056904851	NA	0.414973348	-1.50E-01	-5.64E-01	-1.96E+00	-3.58E+00	-1.50E-01	-3.55E+00	-5.68E-01	-2.65E+00	-3.58E+00	-1.50E-01	-5.69E-01	-2.65E+00	-3.58E+00	-2.65E+00	-3.58E+00	NA	-2.32E+00	-1.39E+00	-3.79E+00
H-120	H	2.276461804	-0.77815125	0.301029996	-1.64E-01	-5.33E-01	-1.88E+00	-3.27E+00	-1.64E-01	-3.31E+00	-5.35E-01	-3.01E+00	-3.27E+00	-1.64E-01	-5.35E-01	-3.01E+00	-3.27E+00	-3.01E+00	-3.27E+00	NA	-2.49E+00	-1.64E+00	-3.81E+00
H-161	H	1	NA	-0.698970004	-2.14E-01	-4.51E-01	-1.72E+00	-4.88E+00	-2.14E-01	-2.91E+00	-4.54E-01	-3.02E+00	-4.88E+00	-2.14E-01	-4.54E-01	-3.02E+00	-4.88E+00	-3.02E+00	-4.88E+00	NA	-2.07E+00	-1.78E+00	-3.58E+00
H-193	H	1.880813592	NA	-0.397940009	-7.04E-02	-8.45E-01	-2.24E+00	NA	-7.04E-02	-3.84E+00	-8.52E-01	-2.65E+00	NA	-7.04E-02	-8.51E-01	-2.65E+00	NA	-2.65E+00	NA	NA	-2.31E+00	-1.68E+00	-3.07E+00
H-314	H	2.146128036	NA	NA	-2.70E-01	-3.73E-01	-1.55E+00	-3.40E+00	-2.70E-01	-3.79E+00	-3.77E-01	-2.35E+00	-3.40E+00	-2.70E-01	-3.78E-01	-2.35E+00	-3.40E+00	-2.35E+00	-3.40E+00	NA	-1.66E+00	-1.62E+00	-2.40E+00
O-121	O	0.77815125	NA	NA	-3.94E-01	-2.52E-01	-1.52E+00	-4.37E+00	-3.94E-01	-3.80E+00	-2.55E-01	-2.36E+00	-4.37E+00	-3.94E-01	-2.55E-01	-2.36E+00	-4.37E+00	-2.36E+00	-4.37E+00	-3.62E+00	-1.82E+00	-1.22E+00	-3.85E+00
O-122	O	3.159867847	NA	NA	-3.61E-01	-2.91E-01	-1.61E+00	-3.28E+00	-3.61E-01	-2.07E+00	-3.01E-01	-2.62E+00	-3.28E+00	-3.61E-01	-3.01E-01	-2.62E+00	-3.28E+00	-2.62E+00	-3.28E+00	-4.78E+00	-1.81E+00	-8.89E-01	-4.30E+00
O-123	O	3.596926814	NA	1.653212514	-3.37E-01	-3.24E-01	-1.26E+00	-2.68E+00	-3.37E-01	-1.86E+00	-3.57E-01	-1.68E+00	-2.68E+00	-3.37E-01	-3.57E-01	-1.68E+00	-2.68E+00	-1.68E+00	-2.68E+00	NA	-2.00E+00	-1.58E+00	-4.68E+00
